Ref,Val,Package,PosX,PosY,Rot,Side
"D0","D","D_SOD-123_DO-35_Hybrid_DoubleSided",79.199997,19.528068,180.000000,top
"D1","D","D_SOD-123_DO-35_Hybrid_DoubleSided",61.399997,51.578068,180.000000,top
"D2","D","D_SOD-123_DO-35_Hybrid_DoubleSided",42.099997,51.578068,180.000000,top
"D3","D","D_SOD-123_DO-35_Hybrid_DoubleSided",19.299997,51.578068,180.000000,top
"D4","D","D_SOD-123_DO-35_Hybrid_DoubleSided",2.079997,50.641068,180.000000,top
"D5","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-18.800003,51.578068,180.000000,top
"D6","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-37.850003,51.578068,180.000000,top
"D7","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-61.150003,51.578068,180.000000,top
"D08_RH10","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-104.775003,14.528068,180.000000,top
"D10","D","D_SOD-123_DO-35_Hybrid_DoubleSided",79.199997,0.478068,180.000000,top
"D11","D","D_SOD-123_DO-35_Hybrid_DoubleSided",57.149997,19.528068,180.000000,top
"D12","D","D_SOD-123_DO-35_Hybrid_DoubleSided",38.099997,22.028068,180.000000,top
"D13","D","D_SOD-123_DO-35_Hybrid_DoubleSided",19.049997,24.528068,180.000000,top
"D14","D","D_SOD-123_DO-35_Hybrid_DoubleSided",2.229997,28.641068,180.000000,top
"D15","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-19.050003,25.528068,180.000000,top
"D16","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-38.100003,20.028068,180.000000,top
"D17","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-57.150003,14.528068,180.000000,top
"D18","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-11.200003,65.131068,90.000000,top
"D18_RH10","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-76.200003,12.741068,180.000000,top
"D20","D","D_SOD-123_DO-35_Hybrid_DoubleSided",79.199997,-18.571932,180.000000,top
"D21","D","D_SOD-123_DO-35_Hybrid_DoubleSided",57.149997,0.478068,180.000000,top
"D22","D","D_SOD-123_DO-35_Hybrid_DoubleSided",38.099997,2.978068,180.000000,top
"D23","D","D_SOD-123_DO-35_Hybrid_DoubleSided",19.049997,5.478068,180.000000,top
"D24","D","D_SOD-123_DO-35_Hybrid_DoubleSided",2.159997,9.601068,180.000000,top
"D25","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-19.050003,6.478068,180.000000,top
"D26","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-38.100003,0.978068,180.000000,top
"D27","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-59.490003,-4.521932,180.000000,top
"D28_RH10","D","D_SOD-123_DO-35_Hybrid_DoubleSided",-101.190003,-10.148932,180.000000,top
"D30","D","D_SOD-123_DO-35_Hybrid_DoubleSided",76.669997,-41.968932,172.000000,top
"D31","D","D_SOD-123_DO-35_Hybrid_DoubleSided",57.149997,-18.571932,180.000000,top
"D32","D","D_SOD-123_DO-35_Hybrid_DoubleSided",38.099997,-16.071932,180.000000,top
